235417,45.155,-94.03999999999999,0.00123
235918,45.145,-93.925,-8e-05
000418,45.16,-94.0,-99900.0
000918,45.16,-93.98,-99900.0
001418,45.175,-93.955,-99900.0
001918,45.18,-93.935,-99900.0
002418,45.18,-93.91499999999999,-99900.0
002919,45.185,-93.81,0.00849
003419,45.195,-93.78,0.00947
003919,45.16,-93.755,0.0084
004420,45.165,-93.74,0.0095
004920,45.17,-93.73,0.00514
005420,45.165,-93.715,0.01926
005921,45.19,-93.695,0.01392
010423,45.22,-93.655,0.00563
010923,45.23,-93.645,0.00834
011423,45.25,-93.65,0.00913
011923,45.245,-93.62,0.00561
012425,45.295,-93.585,0.00226
012925,45.32,-93.525,0.00204
013427,45.285,-93.555,0.00149
013927,45.36,-93.465,0.00209
014428,45.32,-93.495,0.00228
014930,45.31,-93.475,0.00248
015430,45.325,-93.455,0.00242
015930,45.345,-93.38,0.00347
020434,45.37,-93.34,0.00234
020935,45.4,-93.345,0.00298
021436,45.455,-93.335,0.00186
021936,45.495,-93.27,0.00157
022436,45.495,-93.21,0.00105
